,,,,,,,,,,,,"For each of the following questions about your experience with Code Defenders, please specify your level of agreement:",,,,,,,,,,"For each of the following possible improvements, please rate whether you think they are irrelevant, nice to have but not important, or important:",,,,,,,,,,
Timestamp,Please enter your participant ID,Gender,What is your current education level?,What is your course?,Do you have industrial work experience in a Computer Science related field?,How much programming experience do you have?,How much programming experience do you have in Java?,How many programming languages do you know?,Have you used JUnit (or similar testing frameworks) before?,How well do you understand the concept and usage of mutation testing?,How often do you write unit tests when programming?,"For each of the following questions about your experience with Code Defenders, please specify your level of agreement: [I enjoyed playing Code Defenders]","For each of the following questions about your experience with Code Defenders, please specify your level of agreement: [I understood how to play the game]","For each of the following questions about your experience with Code Defenders, please specify your level of agreement: [I enjoy writing unit tests even when it is not part of a game]","For each of the following questions about your experience with Code Defenders, please specify your level of agreement: [Writing unit tests as part of the game is more fun than writing unit tests while coding]","For each of the following questions about your experience with Code Defenders, please specify your level of agreement: [Creating mutants is more fun than writing tests]","For each of the following questions about your experience with Code Defenders, please specify your level of agreement: [The class under test was too difficult to test]","For each of the following questions about your experience with Code Defenders, please specify your level of agreement: [The class under test was too simple to create good mutants from]","For each of the following questions about your experience with Code Defenders, please specify your level of agreement: [I could have created stronger tests with a proper IDE than with the web interface]","For each of the following questions about your experience with Code Defenders, please specify your level of agreement: [It took too long to wait for the other player to complete his/her turn]","For each of the following questions about your experience with Code Defenders, please specify your level of agreement: [I would consider playing Code Defenders for fun]","For each of the following possible improvements, please rate whether you think they are irrelevant, nice to have but not important, or important: [Improve the user interface]","For each of the following possible improvements, please rate whether you think they are irrelevant, nice to have but not important, or important: [Improve the code editor]","For each of the following possible improvements, please rate whether you think they are irrelevant, nice to have but not important, or important: [Highlight code coverage of the tests in the source code]","For each of the following possible improvements, please rate whether you think they are irrelevant, nice to have but not important, or important: [Add a multi-player mode]","For each of the following possible improvements, please rate whether you think they are irrelevant, nice to have but not important, or important: [Add a single-player mode]","For each of the following possible improvements, please rate whether you think they are irrelevant, nice to have but not important, or important: [Improve the point scoring system]","For each of the following possible improvements, please rate whether you think they are irrelevant, nice to have but not important, or important: [Add support for other programming languages]","For each of the following possible improvements, please rate whether you think they are irrelevant, nice to have but not important, or important: [Faster execution of tests/mutants]",Do you have any suggestions on how to improve the user interface?,Do you have any suggestions on how to improve the point scoring system?,Do you have any other suggestions on how to improve Code Defenders?
06/05/2016 18:19:51,101,Male,2nd year undergraduate,,None,5-10 years,2 years,3-5,No,4,Rarely,Fully agree,Fully agree,Partially agree,Fully agree,Fully agree,Partially disagree,Fully disagree,Partially disagree,Partially agree,Fully agree,Irrelevant,Irrelevant,Nice to have,Nice to have,Nice to have,Important,Important,Nice to have,I really think there's nothing wrong with the interface,"Any mutants that haven't been killed at the end give extra points for the attacker. More points for the attacker for each defender fail. More points for the defender if they kill a mutant with their first try, and gradually less points for each fail.",Allow users to import their own code for testing
07/05/2016 11:01:49,102,Male,2nd year undergraduate,Computer Science,None,2 years,2 years,5-10,No,3,Occassionaly,Fully agree,Neither agree nor disagree,Partially disagree,Fully agree,Partially agree,Fully disagree,Partially disagree,Fully disagree,Partially disagree,Partially agree,Nice to have,Important,Important,Nice to have,Important,Important,Important,Irrelevant,Don't let the error message disappear automatically,,Make it easier to understand what to do when mutants stack
06/05/2016 18:18:05,103,Male,PhD student,Testing,7--12 months,5-10 years,5-10 years,5-10,Yes,5,Often,Fully agree,Fully agree,Neither agree nor disagree,Fully agree,Fully agree,Fully agree,Fully disagree,Fully agree,Fully agree,Fully agree,Important,Nice to have,Important,Important,Important,Important,Irrelevant,Irrelevant,I would prefer if the interface did not use bootstrap.,Sacrifice points for additional unit test slots,Use it to crowdsource testing of open source classes.
06/05/2016 18:16:12,104,Male,University Teacher (with complete PhD),Multidisciplinary Engineering Education,More than 10 years,More than 10 years,More than 10 years,More than 10,Yes,5,Often,Fully agree,Fully agree,Fully agree,Fully agree,Partially disagree,Fully disagree,Partially disagree,Partially agree,Partially agree,Fully agree,Nice to have,Important,Important,Important,Nice to have,Important,Nice to have,Irrelevant,Syntax Highlighting,I didn't really pay attention to it,allow loops and conditionals!
06/05/2016 18:16:50,105,Male,Master's student,Software Engineering,6-10 years,3 years,1 year or less,1-2,No,3,Rarely,Fully agree,Partially agree,Neither agree nor disagree,Partially agree,Fully agree,Partially agree,Neither agree nor disagree,Partially agree,Neither agree nor disagree,Partially agree,Nice to have,Important,Important,Nice to have,Nice to have,Nice to have,Nice to have,Irrelevant,,,
06/05/2016 18:01:13,106,Male,3rd year undergraduate,Software Engineering,None,4 years,3 years,5-10,Yes,1,Never,Partially agree,Partially disagree,Fully disagree,Partially agree,Fully agree,Neither agree nor disagree,Neither agree nor disagree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Irrelevant,Nice to have,Important,Irrelevant,Nice to have,Irrelevant,Nice to have,Irrelevant,,,Some mutants may not be equivalents but if the attacker can't prove it they can't really do much. All the defender has to do to win easily is claim attacks are equivalents.
06/05/2016 18:09:11,107,Female,2nd year undergraduate,Information Technology Management,None,2 years,1 year or less,3-5,Yes,3,Rarely,Fully agree,Partially agree,Partially agree,Partially agree,Fully agree,Partially agree,Partially agree,Neither agree nor disagree,Fully agree,Fully agree,Irrelevant,Irrelevant,Important,Important,Important,Nice to have,Important,Important,,Have more time for the rounds,Promote the game more
06/05/2016 18:12:26,108,Male,3rd year undergraduate,Computer Science,None,3 years,1 year or less,3-5,Yes,3,Occassionaly,Fully agree,Partially agree,Partially agree,Partially agree,Fully agree,Neither agree nor disagree,Neither agree nor disagree,Partially agree,Partially agree,Partially agree,Nice to have,Nice to have,Important,Important,Important,Nice to have,Important,Irrelevant,,,
